Date,location,Tmax,Tmin,precipitation
01/01/1990,Astore,2.7,-3.1,0
02/01/1990,Astore,2.7,-2.6,0
03/01/1990,Astore,2.9,-5.2,0
04/01/1990,Astore,1.2,-6.2,0
05/01/1990,Astore,-1.1,-5.7,0
06/01/1990,Astore,-0.8,-6.2,0
07/01/1990,Astore,1.6,-5.7,0
08/01/1990,Astore,3,-5.2,0
09/01/1990,Astore,1.3,-7.3,0
10/01/1990,Astore,3,-6.7,0
11/01/1990,Astore,2.7,-6.2,0
12/01/1990,Astore,7,-4.7,0
13/01/1990,Astore,4.3,-2,0
14/01/1990,Astore,4.9,-6.7,0
15/01/1990,Astore,3.3,-6.2,0
16/01/1990,Astore,4.9,-4.7,0
17/01/1990,Astore,2.7,-1,0
18/01/1990,Astore,1.9,-1,0
19/01/1990,Astore,7,-6.7,0
20/01/1990,Astore,2.2,-7.3,0
21/01/1990,Astore,3.3,-5.2,0
22/01/1990,Astore,0.3,-2.6,0
23/01/1990,Astore,6.4,-3.1,0
24/01/1990,Astore,1.3,-7.3,0
25/01/1990,Astore,2.7,-8.7,0
26/01/1990,Astore,0.6,-8.7,0
27/01/1990,Astore,1.9,-9.9,0
28/01/1990,Astore,1.6,-8.7,0
29/01/1990,Astore,1.6,-5.7,0
30/01/1990,Astore,4,-4.1,0
31/01/1990,Astore,2.7,-3.6,0
01/02/1990,Astore,2.2,-7.3,0
02/02/1990,Astore,1.2,-10.9,0
03/02/1990,Astore,0.1,-11.9,0
04/02/1990,Astore,-0.5,-11.3,0
05/02/1990,Astore,0.1,-7.3,0
06/02/1990,Astore,1.2,-6.7,0
07/02/1990,Astore,1.6,-9.3,0
08/02/1990,Astore,2.2,-8.7,0
09/02/1990,Astore,3.7,-3.6,8.64
10/02/1990,Astore,1.9,-2.6,17.28
11/02/1990,Astore,5.4,-2.6,0
12/02/1990,Astore,6.5,-8.3,0
13/02/1990,Astore,4.8,-6.7,0
14/02/1990,Astore,4.6,-6.2,0
15/02/1990,Astore,6.7,-6.2,0
16/02/1990,Astore,6.4,-5.7,0
17/02/1990,Astore,7,-3.6,0
18/02/1990,Astore,6,-1,2.38
19/02/1990,Astore,4.3,-5.7,6.26
20/02/1990,Astore,4.9,-5.4,0
21/02/1990,Astore,6,-4.7,0
22/02/1990,Astore,6.4,-2.6,0
23/02/1990,Astore,9.1,-4.1,0
24/02/1990,Astore,6.4,-4.1,0
25/02/1990,Astore,9.1,-3.6,0
26/02/1990,Astore,12.3,-1,0
27/02/1990,Astore,9.1,-0.6,5.4
28/02/1990,Astore,5.4,-1,8.64
01/03/1990,Astore,6.4,-1.6,3.78
02/03/1990,Astore,6,-2,0
03/03/1990,Astore,7.5,-3.1,0
04/03/1990,Astore,8.1,-3.1,0
05/03/1990,Astore,8.5,-3.1,0
06/03/1990,Astore,9.1,-2.6,0
07/03/1990,Astore,9.4,-1.6,0
08/03/1990,Astore,12.3,-1.6,0
09/03/1990,Astore,12.9,-0.6,0
10/03/1990,Astore,16,0,0
11/03/1990,Astore,18.1,3.1,0
12/03/1990,Astore,13.3,2.6,0
13/03/1990,Astore,14.2,3.6,1.08
14/03/1990,Astore,15.2,3.6,0
15/03/1990,Astore,15.6,4.7,0
16/03/1990,Astore,16.6,5.2,0
17/03/1990,Astore,15.3,5.7,0.54
18/03/1990,Astore,16,5.7,0
19/03/1990,Astore,15,5.7,1.94
20/03/1990,Astore,10.5,4.1,3.67
21/03/1990,Astore,14.5,4.4,0
22/03/1990,Astore,12.9,4.1,1.51
23/03/1990,Astore,14.5,3.1,7.56
24/03/1990,Astore,11.2,2.9,7.13
25/03/1990,Astore,7.5,1.3,12.31
26/03/1990,Astore,9.1,0.6,0
27/03/1990,Astore,11.8,0,0
28/03/1990,Astore,13.6,2,0
29/03/1990,Astore,14.7,2.6,0
30/03/1990,Astore,15.6,2.6,0
31/03/1990,Astore,15,3.1,0
01/04/1990,Astore,16.6,3.1,0
02/04/1990,Astore,17.7,3.6,0
03/04/1990,Astore,17.7,5.7,0
04/04/1990,Astore,16.6,5.7,0
05/04/1990,Astore,16.6,5.2,0
06/04/1990,Astore,20.8,5.4,0
07/04/1990,Astore,21,5.2,0
08/04/1990,Astore,22.5,6.7,0
09/04/1990,Astore,18.1,5.7,3.46
10/04/1990,Astore,13.6,2.6,14.8
11/04/1990,Astore,8.6,2.6,29.27
12/04/1990,Astore,8.5,2.6,3.78
13/04/1990,Astore,13.9,5.7,0
14/04/1990,Astore,12.9,5.4,5.4
15/04/1990,Astore,13.3,2,7.56
16/04/1990,Astore,15.6,2.3,0
17/04/1990,Astore,17.1,3.6,0
18/04/1990,Astore,16.6,3.3,10.8
19/04/1990,Astore,11.8,4.1,2.16
20/04/1990,Astore,19.3,5.7,0
