Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
1990-01,1990,01,4.6,11.9,12.4,9.2,11.5,5.9,9.2,6.8,6.1,6.8,5.3
1990-02,1990,02,3.7,12.2,13.3,11.7,10.5,5.5,11.7,10,8.7,5.4,8.4
1990-03,1990,03,7.3,17,18.1,19.6,17.5,14.8,19.6,17.5,17,11.7,16.4
1990-04,1990,04,14.1,22.7,24.1,21.2,23.2,15.9,21.2,20.3,20.8,18.4,20.1
1990-05,1990,05,23.5,32.7,36,25.3,34.2,19.4,25.3,24.4,23.2,28.2,23.2
1990-06,1990,06,25.4,33,37.9,28.1,34.7,22.4,28.2,27.3,27.7,31.5,27.8
1990-07,1990,07,28.5,35.9,41.1,30.7,38.6,25.8,30.7,29.5,30.8,34.2,30.2
1990-08,1990,08,28.5,36.8,39.6,30.1,37.6,25.5,30.1,28.7,29.5,34.4,29.4
1990-09,1990,09,25.2,33.7,36.3,28.7,34,22.6,28.7,27.7,29,31,27.9
1990-10,1990,10,18.2,26.2,28,22.1,25.5,19.6,22.1,19.5,19.8,21.9,18.7
1990-11,1990,11,13,20.4,22.1,18.4,19.8,15.6,18.4,16.1,15.6,15.7,15.2
1990-12,1990,12,6.6,12.5,13.3,11.5,12.3,8.6,11.5,10,10.4,9,0.6
1991-01,1991,01,0.9,8.7,9.4,7.2,8.2,4.1,7.2,5.1,8.3,2.2,5.2
1991-02,1991,02,3.7,12,12.5,8.3,12,4.6,8.3,6.5,8.8,7,6.7
1991-03,1991,03,7.5,17.6,18.6,16.8,17.2,11.9,16.8,14.4,12.3,11.9,12.6
1991-04,1991,04,13.9,23.8,24.4,20.2,23.4,17.4,20.2,17.3,18.8,19.3,17.2
1991-05,1991,05,16.9,25.7,27.4,25.3,25.3,23.7,25.3,22.1,20.9,21.9,21
1991-06,1991,06,25.1,33,36.8,31.3,34.1,28.1,31.3,28.6,28.7,30.7,28.4
1991-07,1991,07,25.4,32.9,37.9,31.7,34.5,27.1,31.7,30.2,32,32,31.1
1991-08,1991,08,27.1,34.8,38.8,32.5,36.1,28.7,32.5,30.4,29.2,32.8,29.3
1991-09,1991,09,24.6,31.9,34.9,29.7,32.6,24.6,29.7,28.4,25.9,30,26.6
1991-10,1991,10,17.1,24.7,26.9,23.6,24.6,19.1,23.6,21.8,21.3,20.4,20.9
1991-11,1991,11,11.6,18.9,20.9,16.6,18.6,12.8,16.6,14.9,14.7,14,14
1991-12,1991,12,6.1,12.5,14.2,9.6,12.6,7.6,9.6,7.3,8.6,7.5,7.5
1992-01,1992,01,2.7,9.7,10.3,6.9,9.3,3.4,6.9,4.9,2,3.4,2.8
1992-02,1992,02,2.2,11.6,12.8,12.1,11.1,4.4,12.1,12.1,8.7,5.5,9.5
1992-03,1992,03,6.1,15.4,15.1,16.6,15,10.7,16.6,15,13.5,10.9,13.5
1992-04,1992,04,13.4,26.1,23.8,21.9,23,17.7,21.9,19.2,17.5,19.6,18.4
1992-05,1992,05,18.8,28,29.6,27.8,28.5,18.9,27.8,28.2,26.4,24.5,27.3
1992-06,1992,06,23.4,32.3,36,29.1,34.6,25.3,29.1,27.4,26.9,30.1,26.7
1992-07,1992,07,26.8,34.2,37.4,33.9,36,30.3,33.9,31.9,32.1,32.9,31.9
1992-08,1992,08,27.1,33.7,37.8,30.8,35.5,29.3,30.8,28.3,29.7,32.9,29.2
1992-09,1992,09,21,28.9,31.3,27.3,29.9,22.8,27.3,25.8,26,25.8,25.3
1992-10,1992,10,16.4,24.1,26.1,23.3,24.7,18,23.3,22.2,21.2,21.5,21.2
1992-11,1992,11,12.5,19.3,20.2,18.6,19.2,13.8,18.6,14.6,13.2,15.1,13.4
1992-12,1992,12,7.1,13,14.4,9.3,13.1,6,9.3,7.4,5.4,9,5.4
1993-01,1993,01,2.2,9,10.3,9.4,9.3,4.9,9.4,8.1,6.2,1.9,5.7
1993-02,1993,02,3,14.6,15.4,13.2,15.2,8.6,13.2,11.7,10,7.9,9.4
1993-03,1993,03,7,16.5,17.1,15,16.8,10.2,15,13.5,12.2,11.4,11.7
1993-04,1993,04,16.9,26.3,28.1,25.6,27,20.9,25.6,24,23,20.7,22.4
1993-05,1993,05,20.9,28.6,32.2,28.6,30.1,24.5,28.6,26.3,26.1,23.9,25.3
1993-06,1993,06,23.4,31.6,36.3,31.5,33.4,27.3,31.5,29.6,28.5,27.9,28.8
1993-07,1993,07,24.8,31.6,36.3,30.9,33.7,26.9,30.9,29.3,30.2,29.2,29.7
1993-08,1993,08,25.6,32.1,37.4,31.3,34.6,27.8,31.3,29.3,29.7,30.3,29.1
1993-09,1993,09,23.7,31.7,35.3,28.5,33.6,24.9,28.5,26.4,26.3,28.4,26.1
1993-10,1993,10,17.5,24.5,27.1,22.6,25.8,18.1,22.6,21.2,19.6,21.8,19.6
1993-11,1993,11,10,17.4,18.6,18.6,17.7,15.6,18.6,17,25.3,12.8,20.2
1993-12,1993,12,7,13.2,14.2,10,13.5,5.3,10,9.3,7.7,9.8,7
1994-01,1994,01,2.2,10.3,11.2,5.1,9.8,0.6,5.1,4.3,2.7,4.9,2.5
