Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
1990-01,1990,01,-4.1,1.7,3.3,-0.5,-1.1,-4.1,-0.5,-2.7,-4,-3.1,-4.4
1990-02,1990,02,-6.8,3.1,4.3,0.6,2,-2.6,0.6,-2.2,-3.5,-3.7,-3.6
1990-03,1990,03,-4,6.2,8,6.6,3.8,3.2,6.6,4.1,2.9,0.8,3.7
1990-04,1990,04,1.9,10.1,12.9,8.5,7.6,4.5,8.5,6.9,6.7,5.6,7.6
1990-05,1990,05,8.3,17.3,23,10.6,11.9,6.7,10.6,8.8,7.7,11,9.1
1990-06,1990,06,10.8,18.3,25.2,13.5,15.8,8.6,13.5,12.3,13.3,14.8,13.9
1990-07,1990,07,13.6,23.6,29.1,15.3,18.5,10.3,15.3,13.8,14.7,16.8,15.1
1990-08,1990,08,14.3,23.1,27.6,15.5,16.3,11.3,15.5,14,13.9,16.9,14.8
1990-09,1990,09,10.8,17.8,25.1,11.7,12.4,7.7,11.7,10,10.6,13,11.4
1990-10,1990,10,3.2,9.2,15.1,6.8,4.8,3.3,6.8,5.4,3.8,3.8,4.7
1990-11,1990,11,-1,4.1,8.9,2.2,-0.9,-0.3,2.2,0.6,-1.8,-2.4,0
1990-12,1990,12,-3.4,1.6,3.8,-0.6,-2.1,-6.2,-0.6,-0.4,-3.1,-4.2,3.2
1991-01,1991,01,-11.2,-0.9,1,-2.2,-3.1,-8.1,-2.2,-3.4,-6.6,-9.4,-5.7
1991-02,1991,02,-5.6,1.9,3.4,-0.6,1.9,-5.1,-0.6,-1.8,-2.6,-3.1,-2.7
1991-03,1991,03,-0.9,7.2,8.4,5.4,6.1,0,5.4,4,1.5,1.6,2.6
1991-04,1991,04,3.3,11.5,13.7,7.1,8.1,3.6,7.1,5.1,5.9,6.5,5.5
1991-05,1991,05,6.6,14,16.5,10.7,11.2,7.2,10.7,8.5,7.3,9.2,8.4
1991-06,1991,06,10.5,18.1,23.8,13.9,13.5,10.3,13.9,11.8,12.4,12.9,13
1991-07,1991,07,13.2,20.6,26.4,16.8,16,11.6,16.8,15,16.7,16,16.7
1991-08,1991,08,13.7,20.5,27.4,16.1,14.7,11.8,16.1,14.3,15.8,14.6,15.5
1991-09,1991,09,11.5,17.8,23.6,12.5,11.7,8.7,12.5,11.1,11.3,12.2,11.9
1991-10,1991,10,3.9,11.3,14.5,6.4,4.8,3.7,6.4,4.8,2.5,2.9,4.1
1991-11,1991,11,-0.6,3.4,8.2,1.9,-0.3,1.2,1.9,-0.3,-1.5,-3.5,-0.3
1991-12,1991,12,-2,3.5,5.7,-3.6,1.8,-4,-3.6,-5.9,-3.6,-2.6,-4.1
1992-01,1992,01,-5.3,0.5,2.7,-2.9,-0.5,-6.8,-2.9,-4.3,-8.3,-6.8,-6.9
1992-02,1992,02,-9,2,3.6,2.2,1.6,-3.5,2.2,1.8,-0.7,-5.3,0.1
1992-03,1992,03,-1.7,6.2,6.3,4.4,4.5,-0.8,4.4,3,1.4,1.2,2.5
1992-04,1992,04,3,12.3,13.5,7.9,9.2,4.7,7.9,5.3,4.6,6.7,6
1992-05,1992,05,6.7,15.5,17.5,11.6,11.5,5.3,11.6,11.1,10.4,9.7,12
1992-06,1992,06,10.4,19.1,23.4,13.7,13.5,9.2,13.7,12.1,10.9,13.5,12.4
