Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
1990-01,1990,01,58.6,9.6,17.8,2.85,6,0.76,2.85,0.2,19.86,59.7,32.86
1990-02,1990,02,54.4,0,17.3,2.32,5.5,2.28,2.32,24.3,16.64,45.2,17.99
1990-03,1990,03,91.4,5.2,54.8,6.25,6.6,5.13,6.25,22.84,20.94,59.1,26.72
1990-04,1990,04,66.4,8.8,22.9,47.36,17.9,29.165,47.36,92.77,29.53,31.2,71.96
1990-05,1990,05,30.5,2.7,5.6,28.21,0,49.59,28.21,32.19,4.47,7.6,39.46
1990-06,1990,06,29.3,4.4,15.9,12.51,4.2,8.64,12.51,34.42,10.19,0,25.48
1990-07,1990,07,8.6,0,6.1,24.18,10.9,62.79,24.81,13.4,3.53,25.9,9.04
1990-08,1990,08,40.7,5,23.3,21.51,12.4,33.06,21.59,22.3,16.22,6.8,31.46
1990-09,1990,09,4.3,0,0.6,7.63,0,20.52,7.63,6.97,4.16,8.3,18.3
1990-10,1990,10,25,1.7,3,6.01,3.7,6.08,6.01,17.58,3.64,3,56.1
1990-11,1990,11,4.8,0,0,0,0,0,0,6.1,1.97,1,0.98
1990-12,1990,12,98.4,24.8,82.8,2.34,22.1,0.47,2.34,8.72,21.21,44.4,8.16
1991-01,1991,01,32.1,0,3.2,30.7,0.7,5.79,30.7,51.23,42.01,40.3,41.65
1991-02,1991,02,47,8.2,27.2,6.81,10.8,2.66,6.81,63.97,43.88,21.1,40.19
1991-03,1991,03,156.2,9.4,50.7,6.85,21.3,2.47,6.85,24.75,19.55,43.8,20.95
1991-04,1991,04,51.4,1,10.8,42.24,10.6,12.54,42.24,77.33,39.41,11.5,198.84
1991-05,1991,05,146.3,19.4,37.8,30.37,30.1,22.99,30.37,74.03,43.36,31.1,44.51
1991-06,1991,06,2.7,0.6,0,6.1,8.2,12.92,6.1,4.15,4.47,0.8,21.73
1991-07,1991,07,19.3,16.1,22.7,12.94,17.1,19.19,12.94,14.18,23.6,1,16.79
1991-08,1991,08,17.5,5.1,3.5,12.45,5.7,29.26,12.45,2.33,1.45,3.8,13.62
1991-09,1991,09,12.5,2,4.7,22.82,13.4,62.13,22.82,3.03,3.01,1.1,18.82
1991-10,1991,10,0,0,0,6.34,0.5,17.67,6.34,0,0.31,0,8.99
1991-11,1991,11,6,0,0,2.94,0,4.37,2.94,13.92,0.62,1.3,0.31
1991-12,1991,12,16.5,0,0,2.42,0,0,2.42,20.48,7.28,6.5,3.64
1992-01,1992,01,143.1,9.4,37,8.13,6.7,0.38,8.13,71.94,65.62,73.2,44.3
1992-02,1992,02,32.7,1.3,9.2,9.4,1.5,5.32,9.4,34.65,57.82,36.2,30.26
1992-03,1992,03,145.9,17.3,50.4,4.76,10.8,3.8,4.7,6.49,17.36,57,9.98
1992-04,1992,04,68.3,10.1,59.4,33.66,9.1,28.31,33.65,31.72,151,10,75.86
1992-05,1992,05,57.5,2.2,1.8,9.95,0.5,28.31,9.95,0.88,2.18,0.5,1.61
